"Periods";"GDP from the generation of income/Value at current prices/Compensation of employees/Total (million euros)";"GDP from the generation of income/Value at current prices/Compensation of employees/Wages and salaries (million euros)";"GDP from the generation of income/Value at current prices/Compensation of employees/Employers' social contributions (million euros)";"GDP from the generation of income/Value at current prices/Taxes and subsidies/Taxes less subsidies (million euros)";"GDP from the generation of income/Value at current prices/Taxes and subsidies/Taxes on production and imports (million euros)";"GDP from the generation of income/Value at current prices/Taxes and subsidies/Subsidies (million euros)";"GDP from the generation of income/Value at current prices/Gross operating surplus / mixed income/Total (million euros)";"GDP from the generation of income/Value at current prices/Gross operating surplus / mixed income/Consumption of fixed capital (-) (million euros)";"GDP from the generation of income/Value at current prices/Gross operating surplus / mixed income/Net operating surplus / mixed income (million euros)";"GDP from the generation of income/Value at current prices/Gross domestic product (million euros)"
"2001";239070;191740;47330;49973;57213;7240;192838;74670;118168;481881
"2002";251061;199254;51807;51413;58851;7438;198663;79534;119129;501137
"2003";257855;203442;54413;52894;60341;7447;202061;82760;119301;512810
"2004";261594;205504;56090;55001;62919;7918;212691;85625;127066;529286
"2005";265786;209475;56311;58575;66167;7592;226522;88591;137931;550883
"2006";274630;219149;55481;62783;70788;8005;247133;92481;154652;584546
"2007";290422;232353;58069;64571;73184;8613;264177;97227;166950;619170
"2008";307606;243231;64375;66532;75614;9082;273060;102612;170448;647198
"2009";312196;246623;65573;60399;71193;10794;252247;106530;145717;624842
"2010";311717;247590;64127;61610;72553;10943;265860;109791;156069;639187
"2011";319557;252880;66677;62034;72389;10355;268768;110021;158747;650359
"2012";323867;254388;69479;61454;70984;9530;267645;111232;156413;652966
"2013";324676;255269;69407;64856;73774;8918;270931;113167;157764;660463
"2014";328166;254918;73248;69618;78079;8461;273776;114366;159410;671560
"2015";330267;260690;69577;70790;79430;8640;288951;115742;173209;690008
"2016";340586;268805;71781;75404;84725;9321;292347;117912;174435;708337
"2017";352818;278473;74345;78256;88314;10058;307072;121452;185620;738146
"2018";369840;290635;79205;83263;93872;10609;320884;127456;193428;773987
"2019";388869;304470;84399;89759;101077;11318;334427;133227;201200;813055
"2020";402735;314737;87998;65629;101595;35966;328166;139375;188791;796530
"2021";419346;327970;91376;77224;110237;33013;374017;146714;227303;870587
"2022*";451678;351575;100103;91484;112249;20765;415387;159091;256296;958549
